Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Indiana Jones and the Temple of Doom,179880271,333080271,18998388.0,28000000.0,23-May-84,NA,NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,85.0,7.5,110761.0
Indiana Jones and the Last Crusade,197171806,474171806,18740425.0,48000000.0,24-May-89,NA,NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,89.0,8.3,171572.0
Neal n' Nikki,100358,329621,NA,1300000.0,09-Dec-05,Not Rated,NA,Yash Raj Films,NA,Drama,NA,NA,NA,3.5,494.0
A Nightmare on Elm Street 4: The Dream Master,49369899,49369899,NA,13000000.0,19-Aug-88,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Renny Harlin,NA,5.2,13310.0
"Next Stop, Wonderland",3386698,3456820,NA,1000000.0,21-Aug-98,R,NA,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Brad Anderson,NA,NA,NA
Nighthawks,14600000,19600000,NA,5000000.0,10-Apr-81,NA,NA,Universal,Original Screenplay,Action,Contemporary Fiction,NA,71.0,6.3,5649.0
The English Patient,78716374,231716374,NA,35000000.0,15-Nov-96,R,160.0,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83.0,7.3,54484.0
Niagara,2500000,2500000,NA,1250000.0,21-Jan-53,NA,NA,20th Century Fox,NA,NA,NA,NA,NA,7.0,4698.0
The Naked Gun 2Ω: The Smell of Fear,86930411,86930411,NA,23000000.0,28-Jun-91,NA,NA,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,David Zucker,NA,6.6,26384.0
Naked Gun 33 1/3: The Final Insult,51041856,51041856,NA,30000000.0,18-Mar-94,PG-13,NA,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Peter Segal,NA,6.1,24904.0
National Lampoon's Animal House,141600000,141600000,NA,3000000.0,28-Jul-78,R,NA,Universal,NA,NA,NA,John Landis,90.0,NA,NA
Night of the Living Dead,12000000,30000000,NA,114000.0,01-Oct-68,Not Rated,NA,Walter Reade Organization,Original Screenplay,Horror,Science Fiction,NA,96.0,6.6,10083.0
No Looking Back,143273,143273,NA,5000000.0,27-Mar-98,R,NA,Gramercy,NA,NA,NA,Edward Burns,38.0,5.7,1145.0
The Nun's Story,12800000,12800000,NA,3500000.0,NA,NA,NA,NA,NA,NA,NA,Fred Zinnemann,93.0,7.5,3313.0
A Nightmare on Elm Street,25504513,25504513,NA,1800000.0,09-Nov-84,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,95.0,5.3,12554.0
A Nightmare On Elm Street Part 2: Freddy's Revenge,21163999,21163999,NA,3000000.0,01-Nov-85,NA,NA,New Line,Original Screenplay,Horror,Fantasy,NA,NA,4.9,16222.0
A Nightmare On Elm Street 3: Dream Warriors,44793222,44793222,NA,5000000.0,27-Feb-87,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Chuck Russell,NA,6.2,17354.0
A Nightmare On Elm Street: The Dream Child,22168359,22168359,NA,6000000.0,11-Aug-89,NA,NA,New Line,Original Screenplay,Horror,Fantasy,Stephen Hopkins,NA,4.7,10849.0
Freddy's Dead: The Final Nightmare,34872033,34872033,NA,5000000.0,13-Sep-91,R,NA,New Line,Original Screenplay,Horror,Fantasy,NA,NA,4.5,12779.0
Wes Craven's New Nightmare,18090181,18090181,NA,8000000.0,14-Oct-94,R,NA,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,81.0,NA,NA
Night of the Living Dead,5835247,5835247,NA,4200000.0,19-Oct-90,R,NA,Sony/Columbia,Remake,Horror,Fantasy,NA,67.0,6.6,10083.0
Notorious,24464742,24464742,NA,2000000.0,NA,NA,NA,NA,NA,NA,NA,Alfred Hitchcock,97.0,6.3,9811.0
Never Say Never Again,55500000,160000000,NA,36000000.0,07-Oct-83,NA,NA,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,NA,65.0,6.0,21247.0
The Nutcracker,2119994,2119994,NA,19000000.0,NA,NA,NA,NA,NA,NA,NA,Emile Ardolino,50.0,5.2,561.0
Nowhere to Run,22189039,52189039,NA,15000000.0,15-Jan-93,NA,NA,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,NA,26.0,5.0,6746.0
Interview with the Vampire: The Vampire Chronicles,105264608,223564608,NA,50000000.0,11-Nov-94,R,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Neil Jordan,NA,7.4,78953.0
The Nutty Professor,128814019,273814019,NA,55000000.0,28-Jun-96,PG-13,95.0,Universal,Remake,Comedy,Kids Fiction,Tom Shadyac,67.0,5.6,32234.0
Die Unendliche Geschichte,21300000,21300000,NA,27000000.0,20-Jul-84,NA,NA,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Wolfgang Petersen,NA,7.4,25704.0
Interview with the Assassin,47329,47329,NA,750000.0,15-Nov-02,R,NA,NA,NA,NA,NA,NA,67.0,6.6,1107.0
Nixon,13668249,34668249,NA,45000000.0,20-Dec-95,R,NA,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,75.0,7.1,13761.0
"New York, New York",13800000,13800000,NA,14000000.0,22-Jun-77,NA,NA,MGM,Original Screenplay,Musical,NA,Martin Scorsese,63.0,6.7,1692.0
New York Stories,10763469,10763469,NA,15000000.0,01-Mar-89,NA,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,74.0,6.1,6906.0
Obitaemyy ostrov,0,15000000,NA,36500000.0,01-Jan-09,NA,NA,NA,Based on Book/Short Story,Action,Science Fiction,NA,NA,5.5,2229.0
Octopussy,67900000,187500000,NA,27500000.0,10-Jun-83,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,47.0,6.6,23167.0
On Deadly Ground,38590458,38590458,NA,50000000.0,18-Feb-94,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Steven Seagal,NA,3.8,9579.0
One Flew Over the Cuckoo's Nest,108981275,108981275,NA,4400000.0,19-Nov-75,NA,NA,MGM,Based on Book/Short Story,NA,NA,Milos Forman,96.0,8.9,214457.0
The Offspring,1355728,1355728,NA,1100000.0,04-Sep-87,NA,NA,Moviestore Entertainment,Original Screenplay,Horror,Contemporary Fiction,Jeff Burr,NA,5.6,424.0
On Her Majesty's Secret Service,22800000,82000000,NA,8000000.0,18-Dec-69,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,81.0,6.9,23159.0
The Omen,48570885,48570885,NA,2800000.0,25-Jun-76,NA,NA,20th Century Fox,Original Screenplay,Horror,NA,Richard Donner,84.0,5.4,24523.0
The Omega Code,12610552,12678312,NA,7200000.0,15-Oct-99,PG-13,NA,Providence Entertainment,Original Screenplay,Action,Fantasy,NA,8.0,3.3,3814.0
Out of Africa,79096868,258210860,NA,31000000.0,18-Dec-85,NA,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Sydney Pollack,63.0,7.0,19638.0
Out of the Dark,419428,419428,NA,1600000.0,11-Mar-89,NA,NA,New Line,NA,NA,NA,NA,NA,5.1,230.0
Ordinary People,52302978,52302978,NA,6000000.0,19-Sep-80,NA,NA,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,91.0,7.0,138.0
The Other Side of Heaven,4720371,4720371,NA,7000000.0,14-Dec-01,PG,NA,Excel Entertainment,Based on Book/Short Story,Drama,Dramatization,NA,NA,6.3,1670.0
On the Down Low,1987,1987,NA,10000.0,28-May-04,Not Rated,NA,Cinema Con Sabor,Original Screenplay,Drama,NA,NA,NA,6.3,113.0
Othello,2844379,2844379,NA,11000000.0,14-Dec-95,R,NA,Sony Pictures,Based on Play,Drama,Historical Fiction,NA,68.0,6.9,4289.0
On the Outs,49772,49772,NA,250000.0,15-Jul-05,R,NA,Fader Films,NA,Drama,NA,NA,NA,6.5,445.0
On the Waterfront,9600000,9600000,NA,910000.0,28-Jul-54,NA,NA,NA,NA,NA,NA,Elia Kazan,100.0,8.4,41162.0
Outbreak,67823573,67823573,NA,50000000.0,10-Mar-95,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,59.0,6.4,33192.0
The Outsiders,25697647,25697647,NA,10000000.0,25-Mar-83,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Francis Ford Coppola,65.0,7.0,23607.0
The Oxford Murders,3607,8667348,NA,10000000.0,06-Aug-10,R,NA,Magnolia Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,10.0,6.1,8066.0
Police Academy,81198894,81198894,NA,4500000.0,23-Mar-84,NA,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,47.0,6.3,23192.0
Police Academy 7: Mission to Moscow,126247,126247,NA,10000000.0,26-Aug-94,PG,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,2.5,13121.0
Paa,199228,9791282,NA,4300000.0,04-Dec-09,NA,NA,Reliance Big Pictures,NA,NA,NA,NA,60.0,7.3,1059.0
Pale Rider,41410568,41410568,NA,6900000.0,28-Jun-85,NA,NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Clint Eastwood,92.0,7.1,15352.0
Patriot Games,83287363,178100000,NA,45000000.0,05-Jun-92,NA,NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,75.0,6.9,29544.0
The Pallbearer,5656388,5656388,NA,8000000.0,03-May-96,PG-13,NA,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Matt Reeves,39.0,4.7,4166.0
Pocahontas,141579773,347100000,NA,55000000.0,10-Jun-95,G,NA,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,NA,55.0,6.0,26690.0
Pocketful of Miracles,5000000,5000000,NA,2900000.0,NA,NA,NA,NA,NA,NA,NA,Frank Capra,63.0,7.2,2365.0
PCU,4333569,4333569,NA,9000000.0,29-Apr-94,PG-13,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,47.0,6.0,6967.0
Pete's Dragon,36000000,36000000,NA,10000000.0,03-Nov-77,NA,NA,NA,NA,NA,NA,NA,50.0,6.0,4620.0
Pat Garrett and Billy the Kid,8000000,11000000,NA,4638783.0,23-May-73,R,NA,NA,NA,NA,NA,Sam Peckinpah,NA,7.3,6374.0
Poltergeist,74706019,121706019,NA,10700000.0,04-Jun-82,NA,NA,MGM,Original Screenplay,Horror,Fantasy,Tobe Hooper,86.0,7.4,32817.0
Poltergeist III,14114000,14114000,NA,9500000.0,10-Jun-88,NA,NA,MGM,Original Screenplay,Horror,Fantasy,NA,14.0,3.8,5387.0
Phantasm II,7000000,7000000,NA,3000000.0,08-Jul-88,NA,NA,Universal,NA,Horror,Fantasy,NA,29.0,6.3,3781.0
Phenomenon,104636382,142836382,NA,32000000.0,05-Jul-96,PG,124.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50.0,6.3,26823.0
Philadelphia,77324422,201324422,NA,26000000.0,22-Dec-93,NA,NA,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,74.0,7.6,53283.0
The Phantom,17220599,17220599,NA,45000000.0,07-Jun-96,PG,100.0,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Simon Wincer,43.0,4.8,9477.0
Pi,3221152,4678513,NA,68000.0,10-Jul-98,R,NA,Live Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86.0,7.5,53699.0
Pink Flamingos,413802,413802,NA,12000.0,11-Apr-97,NC-17,NA,Fine Line,NA,NA,NA,John Waters,NA,5.8,7947.0
The Pirate,2956000,2956000,NA,3700000.0,NA,NA,NA,NA,NA,NA,NA,Vincente Minnelli,71.0,7.1,1635.0
The Planet of the Apes,33395426,33395426,NA,5800000.0,08-Feb-68,NA,NA,NA,NA,NA,NA,Franklin J. Schaffner,NA,NA,NA
The Player,21706101,28876702,NA,8000000.0,10-Apr-92,R,NA,Fine Line,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Robert Altman,NA,7.7,24451.0
Apollo 13,172070496,334100000,NA,65000000.0,30-Jun-95,PG,NA,Universal,Based on Book/Short Story,Drama,Dramatization,Ron Howard,NA,7.5,87605.0
Platoon,137963328,137963328,NA,6000000.0,19-Dec-86,NA,NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Oliver Stone,86.0,8.2,108641.0
Panic,779137,889279,NA,1000000.0,01-Dec-00,R,NA,Roxie Releasing,Original Screenplay,Drama,Contemporary Fiction,NA,92.0,2.7,473.0
The Adventures of Pinocchio,15382170,36682170,NA,25000000.0,26-Jul-96,G,94.0,New Line,Based on Book/Short Story,Adventure,Fantasy,Steve Barron,27.0,5.3,1734.0
Pandora's Box,881950,881950,NA,800000.0,09-Aug-02,R,NA,Kino International,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,4.6,386.0
Pink Narcissus,8231,8231,NA,27000.0,24-Dec-99,Not Rated,NA,NA,NA,NA,NA,NA,NA,6.0,384.0
Penitentiary,287000,287000,NA,100000.0,10-May-80,NA,NA,NA,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.5,233.0
The Pursuit of D.B. Cooper,2104164,2104164,NA,12000000.0,13-Nov-81,NA,NA,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Roger Spottiswoode,NA,5.8,442.0
Poetic Justice,27450453,27450453,NA,14000000.0,23-Jul-93,NA,NA,Sony/Columbia,Original Screenplay,Drama,Contemporary Fiction,John Singleton,36.0,5.1,3689.0
Porky's,109492484,109492484,NA,4000000.0,19-Mar-82,NA,NA,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,NA,NA,5.8,15861.0
"Peace, Propaganda and the Promised Land",4930,4930,NA,70000.0,28-Jan-05,Not Rated,NA,Arab Film Distribution,Based on Real Life Events,Documentary,Factual,NA,NA,3.0,75.0
Popeye,49823037,49823037,NA,20000000.0,12-Dec-80,NA,NA,Paramount Pictures,NA,NA,NA,Robert Altman,56.0,4.9,11433.0
Predator 2,28317513,54768418,NA,35000000.0,21-Nov-90,NA,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,Stephen Hopkins,23.0,6.0,35411.0
Predator,59735548,98267558,NA,18000000.0,12-Jun-87,NA,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,John McTiernan,76.0,7.8,88522.0
The Princess Bride,30857000,30857000,NA,15000000.0,25-Sep-87,NA,NA,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Rob Reiner,95.0,8.1,123571.0
Prison,354704,354704,NA,4000000.0,04-Mar-88,NA,NA,Empire Pictures,Original Screenplay,Horror,NA,Renny Harlin,NA,5.8,1154.0
LÈon,19284974,45284974,NA,16000000.0,18-Nov-94,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,NA,8.6,199762.0
Prophecy,21000000,21000000,NA,12000000.0,15-Jun-79,NA,NA,NA,NA,NA,NA,John Frankenheimer,25.0,4.7,1381.0
The Prince of Tides,74787599,74787599,NA,30000000.0,25-Dec-91,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Contemporary Fiction,Barbra Streisand,74.0,6.4,6829.0
Pretty Woman,178406268,463400000,NA,14000000.0,23-Mar-90,NA,NA,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,62.0,6.7,60742.0
The Postman Always Rings Twice,12200000,44200000,NA,12000000.0,20-Mar-81,NA,NA,NA,NA,NA,NA,Bob Rafelson,70.0,6.4,6886.0
Peggy Sue Got Married,41382841,41382841,NA,18000000.0,10-Oct-86,NA,NA,Sony/TriStar,Original Screenplay,Comedy,Fantasy,Francis Ford Coppola,88.0,6.3,12457.0
Peter Pan,87400000,87400000,90536550.0,4000000.0,05-Feb-53,PG,NA,RKO Radio Pictures,Based on Book/Short Story,Adventure,Fantasy,NA,83.0,7.1,16894.0
Pet Sematary,57469179,57469179,NA,11500000.0,21-Apr-89,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,NA,50.0,6.3,19257.0
Patton,62500000,62500000,NA,12000000.0,01-Jan-70,NA,NA,NA,NA,NA,NA,Franklin J. Schaffner,97.0,8.1,39570.0
The Puffy Chair,194523,194523,NA,15000.0,02-Jun-06,R,NA,IDP/Goldwyn/Roadside,NA,NA,NA,NA,NA,6.4,1701.0
Pulp Fiction,107928762,212928762,NA,8000000.0,14-Oct-94,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94.0,8.9,417703.0
Paint Your Wagon,31678778,31678778,NA,20000000.0,15-Oct-69,PG-13,NA,Paramount Pictures,Based on Play,Musical,Historical Fiction,NA,23.0,6.5,5037.0
The Prisoner of Zenda,7000000,7000000,NA,12500000.0,25-May-79,NA,NA,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,NA,4.6,406.0
The Perez Family,2794056,2794056,NA,11000000.0,12-May-95,R,NA,Goldwyn Entertainment,Based on Book/Short Story,Comedy,Historical Fiction,Mira Nair,67.0,6.0,1177.0
Q,255000,255000,NA,1200000.0,19-Nov-82,NA,NA,United Film Distribution Co.,Original Screenplay,Horror,Fantasy,NA,NA,6.1,1899.0
The Quick and the Dead,18552460,18552460,NA,32000000.0,10-Feb-95,R,NA,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,56.0,6.3,27352.0
Quigley Down Under,21413105,21413105,NA,20000000.0,19-Oct-90,NA,NA,MGM,Original Screenplay,Western,Historical Fiction,Simon Wincer,60.0,6.5,6001.0
La Guerre du feu,20959585,20959585,NA,12500000.0,12-Feb-82,NA,NA,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Jean-Jacques Annaud,NA,7.4,6198.0
Quo Vadis?,30000000,30000000,NA,8250000.0,23-Feb-51,NA,NA,NA,NA,NA,NA,NA,88.0,5.8,898.0
Rang De Basanti,2197694,29197694,NA,5300000.0,27-Jan-06,Not Rated,NA,UTV Communications,Original Screenplay,Drama,Contemporary Fiction,NA,NA,8.1,12116.0
Robin and Marian,8000000,8000000,NA,5000000.0,11-Mar-76,NA,NA,NA,NA,NA,NA,NA,68.0,6.5,4800.0
Ransom,136492681,308700000,NA,70000000.0,08-Nov-96,R,121.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70.0,6.6,38524.0
Rosemary's Baby,33395426,33395426,NA,3200000.0,12-Jun-68,NA,NA,NA,NA,NA,NA,Roman Polanski,98.0,8.1,50860.0
Rebecca,6000000,6000000,NA,1288000.0,NA,NA,NA,MGM,Based on Book/Short Story,Drama,NA,Alfred Hitchcock,100.0,8.4,35429.0
Robin Hood: Prince of Thieves,165493908,390500000,NA,50000000.0,14-Jun-91,PG-13,NA,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Kevin Reynolds,56.0,6.7,54480.0
Rumble in the Bronx,32281907,36238752,NA,7500000.0,23-Feb-96,R,100.0,New Line,Original Screenplay,Action,Contemporary Fiction,NA,NA,NA,NA
Rob Roy,31390587,31390587,NA,28000000.0,07-Apr-95,R,NA,MGM,Based on Real Life Events,Drama,Dramatization,Michael Caton-Jones,71.0,6.8,15630.0
Raging Bull,23380203,23380203,NA,18000000.0,14-Nov-80,Not Rated,NA,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98.0,8.4,90015.0
Richard III,2684904,4204857,NA,9200000.0,29-Dec-95,R,NA,MGM,Based on Play,Drama,Historical Fiction,NA,95.0,7.5,6625.0
Raising Cain,21171695,21171695,NA,11000000.0,07-Aug-92,NA,NA,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,53.0,5.7,5135.0
RoboCop,53424681,53424681,NA,13000000.0,17-Jul-87,NA,NA,Orion Pictures,Original Screenplay,Action,Science Fiction,Paul Verhoeven,88.0,7.6,52898.0
RoboCop 3,10696210,10696210,NA,22000000.0,05-Nov-93,NA,NA,Orion Pictures,Original Screenplay,Action,Science Fiction,NA,NA,3.4,13310.0
Ri¢hie Ri¢h,38087756,38087756,NA,40000000.0,21-Dec-94,PG,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,25.0,4.7,12687.0
Radio Days,14792779,14792779,NA,16000000.0,30-Jan-87,NA,NA,Orion Pictures,Original Screenplay,Comedy,Historical Fiction,Woody Allen,95.0,7.5,10839.0
Radio Flyer,4651977,4651977,NA,35000000.0,21-Feb-92,NA,NA,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Richard Donner,43.0,6.5,6210.0
Reservoir Dogs,2832029,2832029,18806836.0,1200000.0,23-Oct-92,R,NA,Miramax,NA,NA,NA,Quentin Tarantino,96.0,8.4,212985.0
Raiders of the Lost Ark,245034358,386800358,19608618.0,20000000.0,12-Jun-81,PG,NA,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,NA,8.7,242661.0
Red River,9012000,9012000,NA,3000000.0,NA,NA,NA,NA,NA,NA,NA,Howard Hawks,100.0,7.8,10629.0
Reds,50000000,50000000,NA,33500000.0,04-Dec-81,NA,NA,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Warren Beatty,94.0,7.4,8455.0
Le Violon rouge,10019109,10019109,NA,10000000.0,11-Jun-99,R,NA,Lionsgate,Original Screenplay,Drama,Historical Fiction,NA,NA,7.7,14545.0
Red Sonja,6905861,6905861,NA,17900000.0,28-Jun-85,NA,NA,MGM,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,20.0,4.4,11896.0
Star Wars Ep. VI: Return of the Jedi,309205079,572700000,12356425.0,32500000.0,25-May-83,PG,NA,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Richard Marquand,NA,NA,NA
The Return,501752,2658490,NA,15000000.0,06-Feb-04,PG-13,NA,Kino International,NA,Drama,NA,NA,NA,2.3,236.0
The Rise and Fall of Miss Thang,401,401,NA,10000.0,14-Aug-08,Not Rated,87.0,Lavender House Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,NA,NA
Roger & Me,6706368,6706368,NA,140000.0,20-Dec-89,NA,NA,Warner Bros.,Based on Real Life Events,Documentary,Factual,Michael Moore,100.0,7.5,14883.0
The Right Stuff,21500000,21500000,NA,27000000.0,21-Oct-83,NA,NA,Warner Bros.,Based on Book/Short Story,Action,Dramatization,Philip Kaufman,97.0,7.9,24275.0
The Rocky Horror Picture Show,139876417,139876417,NA,1200000.0,26-Sep-75,NA,NA,20th Century Fox,NA,Musical,NA,NA,77.0,7.1,41265.0
Road House,30050028,30050028,NA,10000000.0,19-May-89,NA,NA,United Artists,Original Screenplay,Action,Contemporary Fiction,NA,44.0,5.8,14085.0
Romeo Is Bleeding,3275585,3275585,NA,10000000.0,04-Feb-94,R,NA,Gramercy,Original Screenplay,Drama,Contemporary Fiction,NA,24.0,6.3,6537.0
Rocky,117235147,225000000,NA,1000000.0,21-Nov-76,NA,NA,MGM,NA,NA,NA,John G. Avildsen,NA,4.0,84.0
Return of the Living Dead Part II,9205924,9205924,NA,6200000.0,15-Jan-88,NA,NA,Lorimar Motion Pictures,NA,Horror,Fantasy,NA,NA,5.1,4661.0
The R.M.,1111615,1111615,NA,500000.0,31-Jan-03,PG,NA,Halestone,Original Screenplay,Comedy,Contemporary Fiction,NA,64.0,5.5,449.0
Renaissance Man,24172899,24172899,NA,40000000.0,03-Jun-94,PG-13,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Penny Marshall,NA,5.9,7650.0
Rambo: First Blood Part II,150415432,300400000,NA,44000000.0,22-May-85,R,NA,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30.0,5.8,38548.0
Rambo III,53715611,188715611,NA,58000000.0,25-May-88,NA,NA,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,NA,36.0,4.9,31551.0
Romeo+Juliet,46338728,147542381,NA,14500000.0,01-Nov-96,PG-13,120.0,20th Century Fox,Based on Play,Drama,Contemporary Fiction,Baz Luhrmann,NA,6.5,78.0
Rain Man,172825435,412800000,NA,25000000.0,16-Dec-88,NA,NA,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,87.0,8.0,106163.0
Rapa Nui,305070,305070,NA,20000000.0,11-Sep-94,NA,NA,NA,NA,NA,NA,Kevin Reynolds,NA,6.1,2081.0
Roar,2000000,2000000,NA,17000000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,228.0
The Robe,36000000,36000000,NA,5000000.0,16-Sep-53,NA,NA,NA,NA,NA,NA,NA,38.0,6.7,2913.0
The Rock,134069511,336069511,NA,75000000.0,07-Jun-96,R,136.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66.0,7.2,108324.0
The Remains of the Day,22954968,63954968,NA,15000000.0,05-Nov-93,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,James Ivory,97.0,7.9,21736.0
Airplane!,83453539,83453539,NA,3500000.0,04-Jul-80,NA,NA,NA,Original Screenplay,Comedy,NA,Jerry Zucker,98.0,7.8,57000.0
Repo Man,2300000,2300000,NA,1500000.0,02-Mar-84,NA,NA,Universal,Original Screenplay,Comedy,Science Fiction,NA,97.0,6.7,12438.0
Rocket Singh: Salesman of the Year,164649,5348767,NA,1070000.0,11-Dec-09,NA,NA,Yash Raj Films,NA,NA,NA,NA,NA,7.5,1436.0
Raise the Titanic,7000000,7000000,NA,40000000.0,01-Aug-80,PG,NA,NA,NA,NA,NA,NA,60.0,3.9,1757.0
Restoration,4100000,4100000,NA,18000000.0,29-Dec-95,R,NA,Miramax,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.5,4024.0
The Return of the Living Dead,14237880,14237880,NA,4000000.0,16-Aug-85,NA,NA,Orion Pictures,NA,Horror,Science Fiction,NA,88.0,7.1,13621.0
Return to the Land of Wonders,1338,1338,NA,5000.0,13-Jul-05,Not Rated,NA,Arab Film Distribution,NA,Documentary,Factual,NA,NA,8.5,35.0
Return to Oz,10618813,10618813,NA,27000000.0,21-Jun-85,NA,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,NA,55.0,6.7,7491.0
The Running Man,38122000,38122000,NA,30000000.0,13-Nov-87,NA,NA,Sony/TriStar,Based on Book/Short Story,Action,Science Fiction,Paul Michael Glaser,63.0,6.4,36308.0
Run Lola Run,7267324,14533173,NA,1750000.0,18-Jun-99,R,NA,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,NA,6.0,91.0
Revolution#9,9118,9118,NA,350000.0,15-Nov-02,NA,NA,NA,NA,Thriller/Suspense,NA,NA,NA,7.3,252.0
The River Wild,46815000,94215000,NA,45000000.0,30-Sep-94,PG-13,NA,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56.0,6.2,14285.0
Se7en,100125643,328125643,NA,30000000.0,22-Sep-95,R,NA,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,NA,8.7,278918.0
Safe Men,21210,21210,NA,1000000.0,07-Aug-98,R,NA,October Films,NA,NA,NA,NA,58.0,5.9,1743.0
Secrets & Lies,13417292,13417292,NA,4500000.0,28-Sep-96,R,NA,October Films,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94.0,7.9,14364.0
